2025-12-30 16:27:20.880 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [xw.szbz.cn.service.GeminiServiceTest]: GeminiServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-12-30 16:27:20.884 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration xw.szbz.cn.SzbzApiApplication for test class xw.szbz.cn.service.GeminiServiceTest
2025-12-30 16:27:20.894 [main] INFO  xw.szbz.cn.service.GeminiServiceTest - Starting GeminiServiceTest using Java 17.0.17 with PID 33897 (started by wang in /Users/wang/Documents/cursor_demo/szbz/szbz)
2025-12-30 16:27:20.894 [main] INFO  xw.szbz.cn.service.GeminiServiceTest - No active profile set, falling back to 1 default profile: "default"
2025-12-30 16:27:20.981 [main] INFO  xw.szbz.cn.service.GeminiServiceTest - Started GeminiServiceTest in 0.094 seconds (process running for 2.108)
2025-12-30 16:27:21.440 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [xw.szbz.cn.service.QwenServiceTest]: QwenServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-12-30 16:27:21.441 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration xw.szbz.cn.SzbzApiApplication for test class xw.szbz.cn.service.QwenServiceTest
2025-12-30 16:27:21.455 [main] INFO  xw.szbz.cn.service.QwenServiceTest - Starting QwenServiceTest using Java 17.0.17 with PID 33897 (started by wang in /Users/wang/Documents/cursor_demo/szbz/szbz)
2025-12-30 16:27:21.455 [main] INFO  xw.szbz.cn.service.QwenServiceTest - No active profile set, falling back to 1 default profile: "default"
2025-12-30 16:27:21.537 [main] INFO  xw.szbz.cn.service.QwenServiceTest - Started QwenServiceTest in 0.092 seconds (process running for 2.664)
2025-12-30 16:27:28.107 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [xw.szbz.cn.service.LiuRenServiceTest]: LiuRenServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-12-30 16:27:28.108 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration xw.szbz.cn.SzbzApiApplication for test class xw.szbz.cn.service.LiuRenServiceTest
2025-12-30 16:27:28.117 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [xw.szbz.cn.service.Ph8ServiceTest]: Ph8ServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-12-30 16:27:28.117 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration xw.szbz.cn.SzbzApiApplication for test class xw.szbz.cn.service.Ph8ServiceTest
2025-12-30 16:27:28.126 [main] INFO  xw.szbz.cn.service.Ph8ServiceTest - Starting Ph8ServiceTest using Java 17.0.17 with PID 33897 (started by wang in /Users/wang/Documents/cursor_demo/szbz/szbz)
2025-12-30 16:27:28.126 [main] INFO  xw.szbz.cn.service.Ph8ServiceTest - No active profile set, falling back to 1 default profile: "default"
2025-12-30 16:27:28.220 [main] INFO  xw.szbz.cn.service.Ph8ServiceTest - Started Ph8ServiceTest in 0.101 seconds (process running for 9.347)
2025-12-31 11:25:16.938 [main] INFO  xw.szbz.cn.repository.RepositoryTest - Starting RepositoryTest using Java 17.0.2 with PID 13140 (started by 86186 in D:\project\szbz)
2025-12-31 11:25:16.940 [main] INFO  xw.szbz.cn.repository.RepositoryTest - No active profile set, falling back to 1 default profile: "default"
2025-12-31 11:25:17.834 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-12-31 11:25:17.921 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 73 ms. Found 3 JPA repository interfaces.
2025-12-31 11:25:18.543 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-12-31 11:25:18.630 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2025-12-31 11:25:18.689 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-12-31 11:25:19.111 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-12-31 11:25:19.150 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-31 11:25:19.336 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.sqlite.jdbc4.JDBC4Connection@7e77678c
2025-12-31 11:25:19.339 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-31 11:25:20.316 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-12-31 11:25:20.418 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
